Time_s,Temperature_C,Humidity_%,Pressure_hPa,Lat,Lng,Alt_m,Fix,Sats,AccelX_g,AccelY_g,AccelZ_g,GyroX_deg_s,GyroY_deg_s,GyroZ_deg_s,TotalAccel,FlightStarted,ParachuteState,VideoSegment
5.000,39.83,38.72,1013.27,0.000000,0.000000,0.00,0,2,-0.8479,0.4246,-0.0134,1.1298,1.4962,0.9847,0.948,0,DISABLED,0
5.054,39.83,38.80,1013.27,0.000000,0.000000,0.00,0,2,-0.8604,0.4265,-0.0117,0.9237,1.6489,0.8321,0.960,0,DISABLED,0
5.145,39.81,38.71,1013.24,0.000000,0.000000,0.00,0,2,-0.8584,0.4219,-0.0185,1.0916,1.6947,0.5802,0.957,0,DISABLED,0
5.200,39.81,38.71,1013.24,0.000000,0.000000,0.00,0,2,-0.8521,0.4197,-0.0109,0.8931,1.4198,0.8244,0.950,0,DISABLED,0
5.259,39.81,38.68,1013.21,0.000000,0.000000,0.00,0,2,-0.8391,0.4275,-0.0166,1.0763,1.6031,0.9008,0.942,0,DISABLED,0
5.317,39.81,38.68,1013.21,0.000000,0.000000,0.00,0,2,-0.8604,0.4177,-0.0153,1.1450,1.4046,0.8015,0.957,0,DISABLED,0
5.377,39.83,38.71,1013.26,0.000000,0.000000,0.00,0,2,-0.8569,0.4219,-0.0136,1.0992,1.9008,0.8779,0.955,0,DISABLED,0
5.460,39.83,38.71,1013.26,0.000000,0.000000,0.00,0,2,-0.8379,0.4231,-0.0144,1.0534,1.6031,0.7634,0.939,0,DISABLED,0
5.542,39.83,38.71,1013.25,0.000000,0.000000,0.00,0,2,-0.8506,0.4224,-0.0161,1.0687,1.4809,0.6336,0.950,0,DISABLED,0
5.596,39.83,38.71,1013.25,0.000000,0.000000,0.00,0,2,-0.8447,0.4211,-0.0124,0.9847,1.5878,0.6412,0.944,0,DISABLED,0
5.656,39.81,38.78,1013.23,0.000000,0.000000,0.00,0,2,-0.8496,0.4263,-0.0114,1.0153,1.6031,0.6641,0.951,0,DISABLED,0
5.717,39.81,38.78,1013.23,0.000000,0.000000,0.00,0,2,-0.8445,0.4209,-0.0131,1.1145,1.3588,0.5649,0.944,0,DISABLED,0
5.775,39.82,38.73,1013.24,0.000000,0.000000,0.00,0,2,-0.8528,0.4241,-0.0129,0.8244,1.6183,0.7023,0.952,0,DISABLED,0
5.833,39.82,38.80,1013.26,0.000000,0.000000,0.00,0,2,-0.8479,0.4175,-0.0127,1.4122,1.5878,0.6794,0.945,0,DISABLED,0
5.940,39.81,38.75,1013.25,0.000000,0.000000,0.00,0,2,-0.8442,0.4180,-0.0158,0.9084,1.7634,0.5191,0.942,0,DISABLED,0
6.052,39.80,38.75,1013.25,0.000000,0.000000,0.00,0,2,-0.8420,0.4221,-0.0095,1.0534,1.5725,0.7099,0.942,0,DISABLED,1
6.102,39.80,38.75,1013.25,0.000000,0.000000,0.00,0,2,-0.8550,0.4270,-0.0131,1.1069,1.5573,0.6260,0.956,0,DISABLED,1
6.166,39.81,38.70,1013.23,0.000000,0.000000,0.00,0,2,-0.8550,0.4241,-0.0214,1.2366,1.6183,0.7634,0.955,0,DISABLED,1
6.226,39.81,38.76,1013.22,0.000000,0.000000,0.00,0,2,-0.8486,0.4204,-0.0109,1.0153,1.4733,0.7405,0.947,0,DISABLED,1
6.285,39.80,38.76,1013.22,0.000000,0.000000,0.00,0,2,-0.8479,0.4199,-0.0168,1.0992,1.5420,0.8702,0.946,0,DISABLED,1
6.343,39.81,38.76,1013.25,0.000000,0.000000,0.00,0,2,-0.8645,0.4260,-0.0122,1.0916,1.6870,0.4504,0.964,0,DISABLED,1
6.402,39.81,38.76,1013.25,0.000000,0.000000,0.00,0,2,-0.8508,0.4224,-0.0131,0.9618,1.6031,0.8550,0.950,0,DISABLED,1
6.462,39.81,38.83,1013.24,0.000000,0.000000,0.00,0,2,-0.8469,0.4216,-0.0124,0.9389,1.7252,0.6718,0.946,0,DISABLED,1
6.521,39.81,38.83,1013.23,0.000000,0.000000,0.00,0,2,-0.8506,0.4175,-0.0124,0.9924,1.6489,0.6412,0.948,0,DISABLED,1
6.611,39.83,38.76,1013.23,0.000000,0.000000,0.00,0,2,-0.8550,0.4265,-0.0163,0.9542,1.7099,0.6565,0.956,0,DISABLED,1
6.693,39.83,38.79,1013.26,0.000000,0.000000,0.00,0,2,-0.8552,0.4241,-0.0144,1.2290,1.5344,0.5725,0.955,0,DISABLED,1
6.811,39.84,38.74,1013.26,0.000000,0.000000,0.00,0,2,-0.8501,0.4233,-0.0163,1.0153,1.4809,0.6641,0.950,0,DISABLED,1
6.866,39.83,38.77,1013.25,0.000000,0.000000,0.00,0,2,-0.8535,0.4182,-0.0112,1.0840,1.7405,0.7634,0.951,0,DISABLED,1
6.925,39.82,38.75,1013.20,0.000000,0.000000,0.00,0,2,-0.8491,0.4233,-0.0122,0.9008,1.6794,0.7710,0.949,0,DISABLED,1
6.983,39.82,38.75,1013.20,0.000000,0.000000,0.00,0,2,-0.8525,0.4177,-0.0153,1.0534,1.5191,0.8015,0.950,0,DISABLED,1
7.044,39.84,38.71,1013.22,0.000000,0.000000,0.00,0,2,-0.8569,0.4194,-0.0153,1.1832,1.6489,0.6412,0.954,0,DISABLED,1
7.102,39.84,38.71,1013.22,0.000000,0.000000,0.00,0,2,-0.8489,0.4243,-0.0129,1.0840,1.6336,0.7099,0.949,0,DISABLED,1
7.162,39.85,38.83,1013.24,0.000000,0.000000,0.00,0,2,-0.8533,0.4292,-0.0083,1.0992,1.6947,0.8244,0.955,0,DISABLED,1
7.246,39.85,38.76,1013.25,0.000000,0.000000,0.00,0,2,-0.8467,0.4236,-0.0180,0.9924,1.6947,0.8931,0.947,0,DISABLED,1
7.326,39.87,38.76,1013.25,0.000000,0.000000,0.00,0,2,-0.8489,0.4204,-0.0141,1.1298,1.4580,0.7328,0.947,0,DISABLED,1
7.451,39.85,38.77,1013.21,0.000000,0.000000,0.00,0,2,-0.8582,0.4211,-0.0129,1.2214,1.5725,0.8244,0.956,0,DISABLED,1
7.553,39.89,38.76,1013.24,0.000000,0.000000,0.00,0,2,-0.8491,0.4199,-0.0131,1.1908,1.4656,0.7023,0.947,0,DISABLED,1
7.635,39.89,38.78,1013.22,0.000000,0.000000,0.00,0,2,-0.8457,0.4226,-0.0131,1.1450,1.6031,0.6641,0.946,0,DISABLED,1
7.730,39.88,38.79,1013.27,0.000000,0.000000,0.00,0,2,-0.8499,0.4124,-0.0153,1.1069,1.5496,0.7634,0.945,0,DISABLED,1
7.902,39.88,38.80,1013.25,0.000000,0.000000,0.00,0,2,-0.8503,0.4241,-0.0107,0.9389,1.5038,0.8397,0.950,0,DISABLED,1
7.956,39.90,38.81,1013.29,0.000000,0.000000,0.00,0,2,-0.8545,0.4209,-0.0139,0.9160,1.6718,0.7481,0.953,0,DISABLED,1
8.016,39.87,38.78,1013.25,0.000000,0.000000,0.00,0,2,-0.8567,0.4248,-0.0163,1.0611,1.6260,0.7099,0.956,0,DISABLED,1
8.121,39.88,38.90,1013.24,0.000000,0.000000,0.00,0,2,-0.8528,0.4246,-0.0139,1.1985,1.6641,0.8168,0.953,0,DISABLED,1
8.175,39.88,38.92,1013.18,0.000000,0.000000,0.00,0,2,-0.8469,0.4275,-0.0141,1.0534,1.5573,0.7557,0.949,0,DISABLED,1
8.258,39.89,38.95,1013.28,0.000000,0.000000,0.00,0,2,-0.8491,0.4211,-0.0156,1.0534,1.4962,0.7023,0.948,0,DISABLED,1
8.340,39.89,38.95,1013.28,0.000000,0.000000,0.00,0,2,-0.8477,0.4229,-0.0141,0.9771,1.6794,0.7252,0.947,0,DISABLED,1
8.464,39.88,38.99,1013.24,0.000000,0.000000,0.00,0,2,-0.8582,0.4194,-0.0141,1.1756,1.8092,0.5267,0.955,0,DISABLED,1
8.581,39.89,38.96,1013.23,0.000000,0.000000,0.00,0,2,-0.8506,0.4194,-0.0153,1.1985,1.4733,0.7328,0.949,0,DISABLED,1
8.635,39.89,38.97,1013.25,0.000000,0.000000,0.00,0,2,-0.8547,0.4192,-0.0131,1.2366,1.6336,0.4275,0.952,0,DISABLED,1
8.695,39.89,38.97,1013.25,0.000000,0.000000,0.00,0,2,-0.8455,0.4236,-0.0158,1.1603,1.5802,0.6870,0.946,0,DISABLED,1
9.051,39.89,39.03,1013.28,0.000000,0.000000,0.00,0,2,-0.8491,0.4207,-0.0144,1.0000,1.5038,0.7786,0.948,0,DISABLED,2
9.101,39.89,39.08,1013.24,0.000000,0.000000,0.00,0,2,-0.8525,0.4236,-0.0200,0.9771,1.6718,0.7786,0.952,0,DISABLED,2
9.165,39.89,39.08,1013.24,0.000000,0.000000,0.00,0,2,-0.8499,0.4150,-0.0087,1.2366,1.7405,0.7023,0.946,0,DISABLED,2
9.224,39.87,39.01,1013.18,0.000000,0.000000,0.00,0,2,-0.8579,0.4197,-0.0148,0.9847,1.6870,0.7786,0.955,0,DISABLED,2
9.283,39.87,39.01,1013.18,0.000000,0.000000,0.00,0,2,-0.8503,0.4226,-0.0119,1.3130,1.4733,0.6718,0.950,0,DISABLED,2
9.343,39.89,38.99,1013.19,0.000000,0.000000,0.00,0,2,-0.8511,0.4233,-0.0100,0.8626,1.6260,0.8550,0.951,0,DISABLED,2
9.400,39.90,38.97,1013.23,0.000000,0.000000,0.00,0,2,-0.8557,0.4265,-0.0163,1.1221,1.5420,0.8397,0.956,0,DISABLED,2
9.459,39.90,38.97,1013.23,0.000000,0.000000,0.00,0,2,-0.8586,0.4175,-0.0080,1.0000,1.5191,0.7786,0.955,0,DISABLED,2
9.519,39.90,38.95,1013.19,0.000000,0.000000,0.00,0,2,-0.8533,0.4172,-0.0185,1.1069,1.6183,0.8092,0.950,0,DISABLED,2
9.577,39.90,38.95,1013.19,0.000000,0.000000,0.00,0,2,-0.8384,0.4189,-0.0224,1.3053,1.4046,0.4885,0.937,0,DISABLED,2
9.637,39.91,38.91,1013.21,0.000000,0.000000,0.00,0,2,-0.8420,0.4229,-0.0144,0.9542,1.5573,0.7328,0.942,0,DISABLED,2
9.721,39.91,38.96,1013.21,0.000000,0.000000,0.00,0,2,-0.8560,0.4199,-0.0146,1.1374,1.7863,0.6718,0.954,0,DISABLED,2
9.775,39.91,38.96,1013.21,0.000000,0.000000,0.00,0,2,-0.8579,0.4175,-0.0168,1.1145,1.5496,0.8550,0.954,0,DISABLED,2
9.865,39.92,38.96,1013.21,0.000000,0.000000,0.00,0,2,-0.8508,0.4231,-0.0180,1.0305,1.6336,0.6947,0.950,0,DISABLED,2
9.982,39.93,38.95,1013.24,0.000000,0.000000,0.00,0,2,-0.8594,0.4219,-0.0148,1.2519,1.5267,0.8092,0.957,0,DISABLED,2
10.085,39.93,38.93,1013.19,0.000000,0.000000,0.00,0,2,-0.8469,0.4187,-0.0117,1.1374,1.6947,0.4885,0.945,0,DISABLED,2
10.202,39.94,38.90,1013.19,0.000000,0.000000,0.00,0,2,-0.8503,0.4246,-0.0129,1.1679,1.6412,0.8473,0.951,0,DISABLED,2
10.256,39.94,38.87,1013.19,0.000000,0.000000,0.00,0,2,-0.8511,0.4202,-0.0153,1.2214,1.5725,0.9466,0.949,0,DISABLED,2
10.339,39.95,38.87,1013.19,0.000000,0.000000,0.00,0,2,-0.8474,0.4204,-0.0136,0.9389,1.6031,0.4656,0.946,0,DISABLED,2
10.393,39.98,38.96,1013.22,0.000000,0.000000,0.00,0,2,-0.8518,0.4231,-0.0170,1.1145,1.5878,0.7786,0.951,0,DISABLED,2
10.455,39.98,38.92,1013.22,0.000000,0.000000,0.00,0,2,-0.8557,0.4175,-0.0173,1.1756,1.5954,0.6718,0.952,0,DISABLED,2
10.539,39.95,38.92,1013.22,0.000000,0.000000,0.00,0,2,-0.8430,0.4211,-0.0156,1.0000,1.5038,0.6107,0.942,0,DISABLED,2
10.635,39.98,38.93,1013.24,0.000000,0.000000,0.00,0,2,-0.8513,0.4263,-0.0153,1.1069,1.4885,0.7099,0.952,0,DISABLED,2
10.730,39.98,38.95,1013.22,0.000000,0.000000,0.00,0,2,-0.8447,0.4248,-0.0161,1.0992,1.5267,0.6183,0.946,0,DISABLED,2
10.784,39.98,38.92,1013.23,0.000000,0.000000,0.00,0,2,-0.8479,0.4207,-0.0109,1.1527,1.4198,0.7099,0.947,0,DISABLED,2
10.866,39.98,38.92,1013.23,0.000000,0.000000,0.00,0,2,-0.8579,0.4272,-0.0102,1.1374,1.7557,0.5344,0.958,0,DISABLED,2
10.954,39.98,38.86,1013.23,0.000000,0.000000,0.00,0,2,-0.8452,0.4236,-0.0127,1.1985,1.5649,0.8168,0.946,0,DISABLED,2
11.050,39.99,38.93,1013.24,0.000000,0.000000,0.00,0,2,-0.8501,0.4189,-0.0151,1.1527,1.6336,0.7481,0.948,0,DISABLED,2
11.104,40.00,38.84,1013.24,0.000000,0.000000,0.00,0,2,-0.8547,0.4277,-0.0105,1.0763,1.7634,0.7710,0.956,0,DISABLED,2
11.201,39.97,38.91,1013.17,0.000000,0.000000,0.00,0,2,-0.8469,0.4285,-0.0127,0.8702,1.4580,0.7786,0.949,0,DISABLED,2
11.289,40.00,38.92,1013.23,0.000000,0.000000,0.00,0,2,-0.8452,0.4211,-0.0197,1.2137,1.5267,0.6718,0.945,0,DISABLED,2
11.384,39.99,38.92,1013.21,0.000000,0.000000,0.00,0,2,-0.8440,0.4226,-0.0073,1.2061,1.8015,0.4962,0.944,0,DISABLED,2
11.501,39.98,38.92,1013.21,0.000000,0.000000,0.00,0,2,-0.8450,0.4248,-0.0056,0.9542,1.5496,0.7939,0.946,0,DISABLED,2
11.583,39.99,38.91,1013.24,0.000000,0.000000,0.00,0,2,-0.8596,0.4226,-0.0151,1.0153,1.6489,0.8626,0.958,0,DISABLED,2
11.672,39.98,38.91,1013.21,0.000000,0.000000,0.00,0,2,-0.8484,0.4260,-0.0144,0.9313,1.6412,0.8550,0.949,0,DISABLED,2
